                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                0.24107,                0.16689,                0.89237,                0.98271,                0.96807,                 0.9876,                0.90308,                0.50482,                0.27076,                 0.8971,                0.00208,                0.00208,                0.00208
                     82,                0.24233,                0.16495,                0.89151,                0.98155,                0.96672,                0.98667,                  0.903,                0.50416,                0.27077,                0.89633,               0.001981,               0.001981,               0.001981
                     83,                0.23826,                  0.162,                0.88936,                0.97887,                0.96802,                0.98746,                0.90223,                0.50485,                0.27058,                0.89625,               0.001882,               0.001882,               0.001882
                     84,                0.23924,                0.16376,                0.89405,                0.97963,                 0.9676,                0.98753,                0.90187,                0.50366,                0.27031,                0.89554,               0.001783,               0.001783,               0.001783
                     85,                0.23508,                0.16083,                0.89117,                0.98114,                0.96654,                0.98764,                0.90231,                0.50354,                0.26952,                0.89551,               0.001684,               0.001684,               0.001684
                     86,                0.23188,                0.15766,                0.89082,                0.97965,                0.96827,                 0.9881,                0.90298,                0.50338,                0.26768,                0.89602,               0.001585,               0.001585,               0.001585
                     87,                0.23382,                0.16138,                0.88791,                0.98094,                0.96749,                0.98735,                0.90285,                0.50324,                0.26736,                0.89646,               0.001486,               0.001486,               0.001486
                     88,                0.23095,                0.15829,                0.88745,                0.97986,                0.96827,                0.98852,                0.90333,                0.50337,                0.26772,                0.89655,               0.001387,               0.001387,               0.001387
                     89,                0.23069,                0.15819,                0.88739,                0.97965,                0.96887,                0.98861,                0.90315,                0.50307,                0.26831,                0.89665,               0.001288,               0.001288,               0.001288
                     90,                0.22696,                0.15715,                0.88744,                0.98097,                0.96904,                0.98785,                0.90293,                0.50293,                0.26819,                0.89614,               0.001189,               0.001189,               0.001189
                     91,                0.22082,                0.15267,                0.88476,                0.98002,                0.96827,                0.98776,                0.90273,                0.50335,                0.26813,                0.89577,                0.00109,                0.00109,                0.00109
                     92,                0.22539,                0.15421,                0.88749,                0.97963,                0.96764,                0.98666,                0.90279,                0.50316,                0.26789,                0.89515,               0.000991,               0.000991,               0.000991
                     93,                0.22238,                0.15048,                0.88579,                0.97905,                0.96749,                0.98661,                0.90246,                0.50354,                0.26834,                0.89546,               0.000892,               0.000892,               0.000892
                     94,                0.22048,                0.14769,                 0.8858,                 0.9787,                0.96749,                0.98646,                0.90232,                0.50411,                0.26914,                0.89647,               0.000793,               0.000793,               0.000793
                     95,                0.22044,                0.14962,                0.88511,                0.97913,                0.96827,                0.98677,                0.90202,                0.50469,                0.26958,                0.89756,               0.000694,               0.000694,               0.000694
                     96,                0.21334,                0.14601,                0.88294,                0.97794,                0.96981,                0.98788,                0.90214,                0.50479,                0.26938,                0.89798,               0.000595,               0.000595,               0.000595
                     97,                0.21215,                0.14277,                0.88316,                0.97884,                 0.9668,                0.98625,                0.90181,                0.50504,                0.26908,                0.89843,               0.000496,               0.000496,               0.000496
                     98,                    inf,                0.14412,                0.88351,                0.97884,                0.96671,                0.98604,                 0.9018,                 0.5046,                0.26973,                0.89832,               0.000397,               0.000397,               0.000397
                     99,                0.20919,                0.14152,                0.87871,                0.97946,                0.96749,                0.98632,                0.90232,                0.50478,                0.26946,                0.89843,               0.000298,               0.000298,               0.000298
